caso_id_canonico,tomo,n_lineas_bloque,apertura_rel,firma_lines_count,firma_end,pe_idx_baseline,pe_idx_d_validado,disp_cambio,posthoc_rejected,voting_pattern,n_jueces_firma,baseline_voting_pattern,baseline_n_votos_svoto,baseline_n_disidencias,n_votos_actual,n_disid_actual,n_votos_ampliado,n_nuevos_por_ampliado,n_ya_detectados_post_firma,n_votos_narrow_pre_firma,first_voto_narrow
347_p100,347,204,50,2,156,148,148,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
329_p5375,329,115,11,3,78,69,69,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p1303,329,56,14,3,,,,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
332_p460,332,216,94,3,144,138,138,False,False,segun_su_voto,7,segun_su_voto,0,0,0,0,0,0,0,0,
331_p1427,331,95,73,3,91,80,80,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
331_p62,331,65,48,3,60,51,51,False,False,unanime,7,unanime,0,0,0,0,0,0,0,0,
330_p342,330,104,66,4,82,76,76,False,False,segun_su_voto,7,segun_su_voto,1,0,1,0,1,0,1,0,87
329_p4986,329,78,60,5,75,63,63,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
348_p886,348,116,21,1,106,98,98,False,False,unanime,3,unanime,0,0,0,0,0,0,0,0,
343_p1123,343,88,25,2,81,77,77,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p4273,329,238,153,10,167,161,161,False,False,mixed,6,mixed,1,1,1,1,1,0,1,1,166
344_p2955,344,899,801,4,815,810,810,False,False,disidencia,5,disidencia,0,1,0,1,1,0,1,0,820
339_p1193,339,52,16,2,51,38,38,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
329_p1628,329,127,22,6,36,30,30,False,False,segun_su_voto,6,segun_su_voto,1,0,1,0,0,0,0,1,35
329_p1506,329,336,72,9,93,83,,True,True,disidencia,6,disidencia,0,2,0,2,0,0,0,2,1
329_p4500,329,102,91,2,101,94,94,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
330_p5111,330,790,659,12,733,725,725,False,False,segun_su_voto,7,segun_su_voto,2,0,2,0,2,0,2,0,735
331_p530,331,224,75,18,99,92,,True,True,segun_su_voto,7,segun_su_voto,1,1,1,1,1,0,1,1,7
342_p159,342,127,9,2,121,114,114,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
345_p270,345,234,61,2,224,203,203,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
329_p1338,329,85,68,2,83,71,71,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
344_p220,344,10,,2,9,3,3,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
330_p4040,330,11,,1,,,,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
347_p893,347,393,52,3,68,55,55,False,False,segun_su_voto,4,segun_su_voto,1,0,1,0,1,0,1,0,69
343_p1096,343,460,35,4,311,291,291,False,False,segun_su_voto,5,segun_su_voto,1,0,1,0,1,0,1,0,312
339_p906,339,539,382,1,531,525,525,False,False,unanime,3,unanime,0,0,0,0,0,0,0,0,
330_p5245,330,228,172,10,195,181,181,False,False,mixed,7,mixed,1,1,1,1,1,0,1,1,194
340_p526,340,487,387,2,471,450,450,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
344_p2791,344,790,123,3,397,380,380,False,False,disidencia,4,disidencia,0,1,0,1,1,0,1,0,398
332_p663,332,249,29,4,205,183,183,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p300,329,139,113,3,128,122,122,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
330_p1469,330,190,74,5,171,162,162,False,False,disidencia,5,disidencia,0,1,0,1,0,0,0,1,170
339_p1207,339,74,9,1,31,21,21,False,False,unanime,3,unanime,0,0,0,0,0,0,0,0,
334_p109,334,429,90,3,,,,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
332_p627,332,513,486,2,502,495,495,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
330_p1276,330,105,28,2,99,65,65,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
330_p4891,330,58,16,2,52,50,50,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
333_p2208,333,386,263,7,297,289,289,False,False,mixed,6,mixed,1,1,1,1,2,0,2,0,298
329_p4981,329,73,61,2,71,64,64,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p4476,329,52,8,2,46,43,43,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
338_p80,338,63,18,0,,,,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
329_p4688,329,629,,16,,,,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
334_p1437,334,301,265,2,286,278,278,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
334_p365,334,360,325,5,347,336,336,False,False,disidencia,7,disidencia,0,1,0,1,1,0,1,0,349
345_p417,345,216,57,3,67,64,64,False,False,disidencia,4,disidencia,0,1,0,1,1,0,1,0,68
331_p2691,331,1018,126,8,557,537,537,False,False,segun_su_voto,7,segun_su_voto,1,0,1,0,0,0,0,1,556
329_p2158,329,163,94,4,149,136,136,False,False,disidencia,7,disidencia,0,1,0,1,1,0,1,0,150
340_p951,340,344,46,7,150,140,140,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
343_p425,343,288,255,2,281,271,271,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p5879,329,408,321,10,349,344,344,False,False,disidencia,7,disidencia,0,2,0,2,2,0,2,0,351
337_p1521,337,338,152,3,245,238,238,False,False,segun_su_voto,4,segun_su_voto,1,0,1,0,1,0,1,0,250
329_p3942,329,108,93,2,107,96,96,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
343_p1701,343,105,95,1,104,101,101,False,False,unanime,2,unanime,0,0,0,0,0,0,0,0,
332_p1598,332,72,10,2,68,54,54,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
346_p834,346,467,32,4,406,394,394,False,False,segun_su_voto,4,segun_su_voto,1,0,1,0,1,0,1,0,411
346_p84,346,669,146,4,478,472,472,False,False,mixed,4,mixed,1,1,1,1,2,0,2,0,484
334_p1804,334,153,127,2,142,136,136,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
344_p1539,344,695,668,1,680,676,676,False,False,unanime,3,unanime,0,0,0,0,0,0,0,0,
330_p3549,330,123,107,2,118,113,113,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
329_p3400,329,103,74,2,97,84,84,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p2226,329,214,43,4,136,131,131,False,False,segun_su_voto,6,segun_su_voto,1,0,1,0,1,0,1,0,137
347_p1996,347,202,175,1,190,184,184,False,False,unanime,3,unanime,0,0,0,0,0,0,0,0,
331_p293,331,229,116,8,188,175,175,False,False,segun_su_voto,6,segun_su_voto,1,0,1,0,0,0,0,1,187
332_p1332,332,244,175,8,190,183,183,False,False,disidencia,6,disidencia,0,1,0,1,0,0,0,1,189
329_p3986,329,839,744,8,801,791,791,False,False,mixed,7,mixed,1,1,1,1,2,0,2,0,803
331_p548,331,28,,3,23,15,15,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
329_p4891,329,384,284,3,383,378,378,False,False,unanime,7,unanime,0,0,0,0,0,0,0,0,
338_p88,338,571,332,4,562,548,548,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
332_p640,332,926,327,5,891,873,873,False,False,unanime,7,unanime,0,0,0,0,0,0,0,0,
340_p724,340,46,34,1,44,37,37,False,False,unanime,3,unanime,0,0,0,0,0,0,0,0,
346_p1415,346,148,118,2,137,129,129,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
337_p119,337,158,16,3,144,134,134,False,False,unanime,7,unanime,0,0,0,0,0,0,0,0,
330_p1601,330,88,49,3,67,52,52,False,False,unanime,7,unanime,0,0,0,0,0,0,0,0,
337_p675,337,213,137,2,212,204,204,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
334_p1139,334,75,,2,61,55,55,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
330_p4606,330,333,245,7,263,257,257,False,False,disidencia,7,disidencia,0,1,0,1,0,0,0,1,262
348_p389,348,631,78,3,321,314,314,False,False,segun_su_voto,3,segun_su_voto,1,0,1,0,1,0,1,0,322
331_p2889,331,172,72,2,168,158,158,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
348_p1383,348,1182,764,3,1158,1151,1151,False,False,segun_su_voto,3,segun_su_voto,1,0,1,0,1,0,1,0,1159
347_p759,347,350,46,4,63,59,59,False,False,segun_su_voto,4,segun_su_voto,2,0,2,0,2,0,2,0,64
329_p3517,329,71,14,2,63,51,51,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
345_p1011,345,147,112,3,133,123,123,False,False,disidencia,4,disidencia,0,1,0,1,1,0,1,0,134
346_p1355,346,233,54,4,174,169,169,False,False,disidencia,4,disidencia,0,1,0,1,1,0,1,0,176
330_p2033,330,255,159,6,,,,False,True,sin_firma,0,disidencia,0,1,0,1,0,0,0,0,235
343_p184,343,354,92,2,346,339,339,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
331_p1412,331,564,306,5,508,502,502,False,False,disidencia,5,disidencia,0,1,0,1,1,0,1,0,510
330_p1620,330,97,81,2,95,84,84,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
340_p1154,340,848,358,14,368,366,366,False,False,disidencia,5,disidencia,0,2,0,2,2,0,2,0,370
338_p40,338,300,71,2,299,287,287,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
332_p155,332,224,205,3,221,214,214,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
347_p128,347,1909,266,3,1860,1847,1847,False,False,disidencia,5,disidencia,0,1,0,1,1,0,1,0,1862
348_p1655,348,253,47,3,190,180,180,False,False,segun_su_voto,3,segun_su_voto,1,0,1,0,2,1,1,0,195
343_p2095,343,77,16,3,56,53,53,False,False,segun_su_voto,5,segun_su_voto,1,0,1,0,1,0,1,0,58
330_p5205,330,296,126,8,219,211,211,False,False,disidencia,6,disidencia,0,1,0,1,0,0,0,1,217
348_p1478,348,260,18,1,250,244,244,False,False,unanime,3,unanime,0,0,0,0,0,0,0,0,
333_p1192,333,470,406,3,428,417,417,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p2731,329,59,12,4,37,34,34,False,False,segun_su_voto,5,segun_su_voto,1,0,1,0,1,0,1,0,38
331_p364,331,152,141,4,150,144,144,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
329_p1638,329,675,295,13,312,303,303,False,False,disidencia,7,disidencia,0,1,0,1,0,0,0,1,311
333_p462,333,703,438,7,461,453,453,False,False,disidencia,7,disidencia,0,1,0,1,1,0,1,0,463
339_p127,339,4,,1,3,1,1,False,False,unanime,2,unanime,0,0,0,0,0,0,0,0,
331_p2913,331,225,101,2,220,202,202,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
329_p3121,329,36,8,4,22,18,18,False,False,segun_su_voto,6,segun_su_voto,1,0,1,0,1,0,1,0,27
330_p4690,330,105,7,4,83,76,76,False,False,segun_su_voto,7,segun_su_voto,1,0,1,0,1,0,1,0,84
344_p701,344,338,308,2,331,321,321,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
333_p380,333,192,164,5,180,174,174,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
330_p4786,330,83,8,2,77,68,68,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
347_p1340,347,154,18,2,148,140,140,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
341_p1625,341,913,541,3,554,549,549,False,False,segun_su_voto,4,segun_su_voto,1,0,1,0,0,0,0,1,553
338_p1258,338,717,187,3,692,663,663,False,False,disidencia,4,disidencia,0,1,0,1,1,0,1,0,694
347_p392,347,330,264,2,326,319,319,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
340_p900,340,44,12,1,31,29,29,False,False,unanime,3,unanime,0,0,0,0,0,0,0,0,
330_p547,330,65,10,2,59,52,52,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
331_p2728,331,351,270,2,340,334,334,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
331_p1502,331,312,263,8,298,283,283,False,False,disidencia,7,disidencia,0,1,0,1,0,0,0,1,295
344_p223,344,390,354,3,366,362,362,False,False,segun_su_voto,5,segun_su_voto,1,0,1,0,1,0,1,0,372
343_p648,343,308,246,5,275,259,259,False,False,segun_su_voto,5,segun_su_voto,1,0,1,0,0,0,0,1,274
331_p2590,331,521,205,8,471,458,458,False,False,disidencia,7,disidencia,0,1,0,1,0,0,0,1,468
344_p2256,344,1996,1005,4,1133,1125,1125,False,False,segun_su_voto,4,segun_su_voto,2,0,2,0,3,1,2,0,1134
339_p1436,339,54,13,2,47,43,43,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
344_p2104,344,184,163,2,183,170,170,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
338_p1551,338,1009,688,1,1003,998,998,False,False,unanime,3,unanime,0,0,0,0,0,0,0,0,
334_p1821,334,872,72,2,865,855,855,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
330_p5187,330,358,224,9,320,313,313,False,False,segun_su_voto,6,segun_su_voto,2,0,2,0,2,0,2,0,325
330_p261,330,902,391,6,732,720,720,False,False,segun_su_voto,7,segun_su_voto,2,0,2,0,2,0,2,0,733
342_p643,342,53,14,0,,52,52,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
341_p1263,341,171,134,3,158,151,151,False,False,segun_su_voto,4,segun_su_voto,1,0,1,0,1,0,1,0,159
329_p4414,329,66,54,2,64,57,57,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p2263,329,44,13,5,28,23,23,False,False,segun_su_voto,5,segun_su_voto,1,0,1,0,0,0,0,1,27
329_p5319,329,168,152,3,167,162,162,False,False,unanime,7,unanime,0,0,0,0,0,0,0,0,
330_p1179,330,66,50,2,60,53,53,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
346_p750,346,137,25,1,124,119,119,False,False,unanime,3,unanime,0,0,0,0,0,0,0,0,
330_p1491,330,202,170,6,186,179,179,False,False,segun_su_voto,7,segun_su_voto,1,0,1,0,0,0,0,1,185
348_p1169,348,32,11,1,25,24,24,False,False,unanime,3,unanime,0,0,0,0,0,0,0,0,
339_p1199,339,154,129,1,144,139,139,False,False,unanime,3,unanime,0,0,0,0,0,0,0,0,
344_p3625,344,433,32,1,422,415,415,False,False,unanime,3,unanime,0,0,0,0,0,0,0,0,
329_p2985,329,36,10,2,24,13,13,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
338_p432,338,94,76,1,83,78,78,False,False,unanime,3,unanime,0,0,0,0,0,0,0,0,
338_p195,338,306,272,2,290,281,281,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
344_p3610,344,129,18,2,122,118,118,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
340_p1542,340,163,131,3,143,139,139,False,False,segun_su_voto,5,segun_su_voto,1,0,1,0,1,0,1,0,145
342_p2319,342,1011,399,2,999,991,991,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
331_p1846,331,338,272,4,316,307,307,False,False,disidencia,6,disidencia,0,0,0,0,0,0,0,0,
343_p1772,343,462,369,5,388,380,380,False,False,mixed,5,mixed,2,1,2,1,3,0,3,0,393
329_p542,329,52,,0,,,,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
348_p1152,348,284,23,1,276,272,272,False,False,unanime,3,unanime,0,0,0,0,0,0,0,0,
329_p5543,329,288,102,2,273,265,265,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
348_p1230,348,28,,0,,,,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
343_p486,343,325,250,2,323,315,315,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
331_p2876,331,69,53,3,64,56,56,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
347_p291,347,455,426,2,450,440,440,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
334_p95,334,597,56,6,380,372,372,False,False,segun_su_voto,7,segun_su_voto,1,0,1,0,0,0,0,1,378
329_p5377,329,138,99,5,119,111,111,False,False,segun_su_voto,7,segun_su_voto,1,0,1,0,0,0,0,1,118
332_p1622,332,64,52,2,63,55,55,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
339_p1671,339,114,99,1,112,102,102,False,False,unanime,3,unanime,0,0,0,0,0,0,0,0,
330_p1398,330,162,125,6,148,134,134,False,False,disidencia,7,disidencia,0,1,0,1,0,0,0,1,147
340_p729,340,73,45,2,68,62,62,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p158,329,151,136,2,150,146,146,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
331_p2628,331,195,163,3,182,171,171,False,False,unanime,7,unanime,0,0,0,0,0,0,0,0,
341_p1727,341,201,160,2,200,190,190,False,False,unanime,3,unanime,0,0,0,0,0,0,0,0,
330_p2478,330,539,107,4,506,477,477,False,False,segun_su_voto,7,segun_su_voto,1,0,1,0,1,0,1,0,507
342_p343,342,2753,711,5,1833,1824,1824,False,False,segun_su_voto,5,segun_su_voto,2,0,2,0,2,0,2,0,1834
329_p5139,329,329,250,5,311,299,299,False,False,disidencia,7,disidencia,0,1,0,1,0,0,0,1,309
346_p627,346,74,11,2,66,59,59,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
332_p2152,332,49,11,2,46,42,42,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
347_p69,347,157,34,1,146,140,140,False,False,unanime,3,unanime,0,0,0,0,0,0,0,0,
345_p945,345,202,178,2,197,190,190,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
330_p4045,330,134,25,5,82,75,75,False,False,segun_su_voto,6,segun_su_voto,1,0,1,0,1,0,1,0,83
337_p1067,337,515,204,2,505,494,494,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
330_p1545,330,199,129,5,174,165,165,False,False,segun_su_voto,6,segun_su_voto,1,0,1,0,1,0,1,0,179
343_p702,343,344,314,2,331,327,327,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
343_p28,343,166,24,3,118,114,114,False,False,segun_su_voto,4,segun_su_voto,1,0,1,0,1,0,1,0,120
329_p19,329,35,6,2,22,19,19,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
345_p58,345,87,17,2,76,59,59,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
333_p1179,333,455,290,0,,,,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
341_p915,341,170,105,1,125,115,115,False,False,unanime,3,unanime,0,0,0,0,0,0,0,0,
329_p906,329,115,74,6,90,84,84,False,False,disidencia,7,disidencia,0,1,0,1,1,0,1,0,95
329_p5424,329,553,341,5,532,514,514,False,False,disidencia,7,disidencia,0,1,0,1,0,0,0,1,531
334_p1897,334,224,145,2,213,206,206,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
332_p2868,332,155,85,2,148,142,142,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
331_p1024,331,146,29,2,140,120,120,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p2796,329,123,106,2,116,109,109,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
331_p1171,331,200,24,3,192,185,185,False,False,unanime,7,unanime,0,0,0,0,0,0,0,0,
344_p709,344,43,14,2,33,29,29,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p4234,329,265,240,2,258,248,248,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
341_p717,341,146,135,2,145,138,138,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
329_p3373,329,325,,0,,,,False,False,sin_firma,0,sin_firma,0,0,0,0,0,0,0,0,
343_p128,343,77,28,2,67,59,59,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
329_p5944,329,162,124,2,139,132,132,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
329_p6050,329,85,69,2,84,72,72,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
347_p1820,347,258,81,2,247,236,236,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
341_p129,341,726,562,1,718,713,713,False,False,unanime,3,unanime,0,0,0,0,0,0,0,0,
343_p1434,343,402,381,2,394,389,389,False,False,unanime,5,unanime,0,0,0,0,0,0,0,0,
330_p1722,330,434,391,6,415,406,406,False,False,disidencia,7,disidencia,0,1,0,1,1,0,1,0,420
331_p2745,331,533,319,8,514,489,489,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
342_p2198,342,1204,183,3,1103,1091,1091,False,False,disidencia,4,disidencia,0,1,0,1,1,0,1,0,1104
345_p688,345,237,211,2,232,225,225,False,False,unanime,4,unanime,0,0,0,0,0,0,0,0,
339_p1219,339,79,27,1,63,61,61,False,False,unanime,3,unanime,0,0,0,0,0,0,0,0,
330_p4733,330,87,21,3,82,74,74,False,False,unanime,6,unanime,0,0,0,0,0,0,0,0,
343_p681,343,813,468,6,494,477,477,False,False,mixed,5,mixed,1,1,1,1,1,0,1,1,493
