tomo,source_file,subtipo,linea_ini,linea_fin,n_lineas,wc
329,LibroVol329.1.md,indice_partes,52142,52816,675,3729
329,LibroVol329.1.md,indice_materias,52817,59889,7073,72437
329,LibroVol329.1.md,indice_legislacion,59890,62603,2714,5028
329,LibroVol329.1.md,indice_general,62604,62626,23,54
329,LibroVol329.2.md,indice_partes,60726,61517,792,4518
329,LibroVol329.2.md,indice_materias,61518,69794,8277,86631
329,LibroVol329.2.md,indice_legislacion,69795,72038,2244,4174
329,LibroVol329.2.md,indice_general,72039,72059,21,48
329,LibroVol329.3.md,indice_partes,73891,74851,961,5532
329,LibroVol329.3.md,indice_materias,74852,84136,9285,96477
329,LibroVol329.3.md,indice_legislacion,84137,86723,2587,4795
329,LibroVol329.3.md,indice_general,86724,86744,21,48
329,LibroVol329.4.md,indice_partes,46154,49255,3102,18017
329,LibroVol329.4.md,indice_materias,49256,55505,6250,64056
329,LibroVol329.4.md,indice_legislacion,55506,78155,22650,210203
329,LibroVol329.4.md,indice_general,78156,78231,76,199
330,LibroVol330.1.md,indice_partes,50486,51083,598,3513
330,LibroVol330.1.md,indice_materias,51084,57780,6697,70085
330,LibroVol330.1.md,indice_legislacion,57781,59960,2180,4060
330,LibroVol330.1.md,indice_general,59961,59983,23,60
330,LibroVol330.2.md,indice_legislacion,71773,72117,345,528
330,LibroVol330.2.md,indice_general,72118,72140,23,55
330,LibroVol330.3.md,discurso,55462,56347,886,7732
330,LibroVol330.3.md,indice_partes,56348,56811,464,2592
330,LibroVol330.3.md,indice_materias,56812,63901,7090,75459
330,LibroVol330.3.md,indice_legislacion,63902,65965,2064,2915
330,LibroVol330.3.md,indice_general,65966,65990,25,57
330,LibroVol330.4.md,indice_partes,44652,46667,2016,11367
330,LibroVol330.4.md,indice_legislacion,46668,48112,1445,1917
330,LibroVol330.4.md,acordadas,48113,48495,383,552
330,LibroVol330.4.md,indice_general,48496,48580,85,209
331,LibroVol331.1.md,indice_partes,38467,38561,95,436
331,LibroVol331.1.md,indice_materias,38562,44892,6331,59720
331,LibroVol331.1.md,indice_legislacion,44893,45623,731,1075
331,LibroVol331.1.md,indice_general,45624,45646,23,54
331,LibroVol331.2.md,acordadas,37817,37881,65,339
331,LibroVol331.2.md,indice_partes,37882,38109,228,1085
331,LibroVol331.2.md,indice_materias,38110,43905,5796,54739
331,LibroVol331.2.md,indice_legislacion,43906,44329,424,569
331,LibroVol331.2.md,indice_general,44330,44354,25,56
331,LibroVol331.3.md,indice_partes,36845,37383,539,2766
331,LibroVol331.3.md,indice_materias,37384,42973,5590,51179
331,LibroVol331.3.md,indice_legislacion,42974,43533,560,774
331,LibroVol331.3.md,indice_general,43534,43600,67,157
332,LibroVol332.1.md,indice_partes,35710,35974,265,1257
332,LibroVol332.1.md,indice_materias,35975,40259,4285,40421
332,LibroVol332.1.md,indice_legislacion,40260,40554,295,449
332,LibroVol332.1.md,indice_general,40555,40577,23,54
332,LibroVol332.2.md,acordadas,43206,43305,100,705
332,LibroVol332.2.md,indice_partes,43306,43522,217,1026
332,LibroVol332.2.md,indice_materias,43523,47564,4042,39060
332,LibroVol332.2.md,indice_legislacion,47565,47833,269,383
332,LibroVol332.2.md,indice_general,47834,47859,26,56
332,LibroVol332.3.md,indice_partes,34086,34728,643,3279
332,LibroVol332.3.md,indice_materias,34729,38089,3361,31746
332,LibroVol332.3.md,indice_legislacion,38090,38335,246,353
332,LibroVol332.3.md,indice_general,38336,38401,66,157
333,LibroVol333.1.md,indice_partes,30125,30137,13,46
333,LibroVol333.1.md,indice_materias,30138,33315,3178,29391
333,LibroVol333.1.md,indice_legislacion,33316,33601,286,372
333,LibroVol333.1.md,indice_general,33602,33626,25,56
333,LibroVol333.2.md,indice_partes,43620,43802,183,863
333,LibroVol333.2.md,indice_materias,43803,47001,3199,29456
333,LibroVol333.2.md,indice_legislacion,47002,47227,226,308
333,LibroVol333.2.md,indice_general,47228,47252,25,56
333,LibroVol333.3.md,indice_partes,22974,23275,302,1547
333,LibroVol333.3.md,indice_materias,23276,25069,1794,15504
333,LibroVol333.3.md,indice_legislacion,25070,25171,102,164
333,LibroVol333.3.md,indice_general,25172,25238,67,164
334,LibroVol334.1.md,indice_partes,27893,28042,150,703
334,LibroVol334.1.md,indice_materias,28043,30579,2537,22771
334,LibroVol334.1.md,indice_legislacion,30580,30635,56,113
334,LibroVol334.1.md,indice_general,30636,30660,25,56
334,LibroVol334.2.md,acordadas,13342,13429,88,676
334,LibroVol334.2.md,indice_partes,13430,13540,111,436
334,LibroVol334.2.md,indice_materias,13541,15131,1591,13982
334,LibroVol334.2.md,indice_legislacion,15132,15203,72,122
334,LibroVol334.2.md,indice_general,15204,15228,25,56
334,LibroVol334.3.md,indice_partes,34229,34626,398,1987
334,LibroVol334.3.md,indice_materias,34627,37547,2921,27568
334,LibroVol334.3.md,indice_legislacion,37548,37635,88,145
334,LibroVol334.3.md,indice_general,37636,37702,67,157
337,LibroVol337.1.md,indice_partes,35178,35338,161,820
337,LibroVol337.1.md,indice_general,35339,35364,26,28
337,LibroVol337.2.md,indice_partes,27766,27946,181,931
337,LibroVol337.2.md,indice_general,27947,27972,26,28
338,LibroVol338.1.md,indice_partes,26329,26528,200,1040
338,LibroVol338.1.md,indice_general,26529,26554,26,28
338,LibroVol338.2.md,indice_partes,35174,35613,440,2451
338,LibroVol338.2.md,indice_general,35614,35639,26,28
339,LibroVol339.1.md,indice_partes,35168,35592,425,2397
339,LibroVol339.1.md,indice_general,35593,35608,16,17
339,LibroVol339.2.md,indice_partes,33523,34315,793,4633
339,LibroVol339.2.md,indice_general,34316,34341,26,28
340,LibroVol340.1.md,indice_partes,36306,36696,391,2179
340,LibroVol340.1.md,indice_general,36697,36711,15,16
340,LibroVol340_2.md,indice_partes,43090,43790,701,3964
340,LibroVol340_2.md,indice_general,43791,43804,14,15
341,LibroVol341.1.md,indice_partes,32522,32653,132,653
341,LibroVol341.1.md,indice_general,32654,32668,15,16
341,LibroVol341.2.md,acordadas,45283,47309,2027,17379
341,LibroVol341.2.md,indice_partes,47310,47961,652,3690
341,LibroVol341.2.md,indice_general,47962,47986,25,27
342,LibroVol342-1.md,indice_partes,50454,50783,330,1716
342,LibroVol342-1.md,indice_general,50784,50810,27,29
342,LibroVol342-2.md,indice_partes,43062,43658,597,3369
342,LibroVol342-2.md,indice_general,43659,43685,27,29
343,LibroVol343-1.md,indice_partes,25350,25989,640,3592
343,LibroVol343-1.md,indice_general,25990,26017,28,31
343,LibroVol343-2.md,indice_partes,30166,30613,448,2467
343,LibroVol343-2.md,indice_general,30614,30641,28,31
343,LibroVol343-3.md,indice_partes,34363,34810,448,2467
343,LibroVol343-3.md,indice_general,34811,34838,28,31
344,LibroVol344-1.md,indice_partes,48806,49674,869,4951
344,LibroVol344-1.md,indice_general,49675,49702,28,31
344,LibroVol344-2.md,indice_partes,53476,54344,869,4951
344,LibroVol344-2.md,indice_general,54345,54372,28,31
344,LibroVol344-3.md,indice_partes,45711,46579,869,4951
344,LibroVol344-3.md,indice_general,46580,46607,28,31
345,LibroVol345-1.md,indice_partes,33804,34410,607,3397
345,LibroVol345-1.md,indice_general,34411,34431,21,29
345,LibroVol345-2.md,indice_partes,26243,26849,607,3397
345,LibroVol345-2.md,indice_general,26850,26870,21,29
346,LibroVol346-1.md,indice_partes,29654,30204,551,3089
346,LibroVol346-1.md,indice_general,30205,30227,23,30
346,LibroVol346-2.md,indice_partes,31409,31921,513,2883
346,LibroVol346-2.md,indice_general,31922,31944,23,30
347,LibroVol347-1.md,indice_partes,45361,46004,644,3643
347,LibroVol347-1.md,indice_general,46005,46026,22,30
347,LibroVol347-2.md,indice_partes,46377,47020,644,3643
347,LibroVol347-2.md,indice_general,47021,47042,22,30
348,LibroVol348-1.md,indice_partes,70190,70639,450,2469
348,LibroVol348-1.md,indice_general,70640,70657,18,19
349,LibroVol349-1.md,indice_partes,11944,12055,112,567
349,LibroVol349-1.md,indice_general,12056,12063,8,9
